Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Kandy Kush,Train Wreck x OG Kush,Indica-dominant (60%),Medium,Unknown,"['Sweet', 'Candy', 'Lemon']","['Uplifting', 'Euphoric', 'Balanced', 'Relaxed']"
Karel's Haze,Old School Haze x Chem Dog OG Fire,Sativa-dominant (70%),High,Medium,"['Citrus', 'Lime', 'Tropical']","['Happy', 'Cerebral', 'Relaxed', 'Euphoric']"
Karibbean Mango,Mango x Black Domina,Indica-dominant,Medium,Unknown,"['Sweet', 'Fruity', 'Tropical']","['Happy', 'Calming', 'Strong', 'Relaxed']"
Karma's OG,Bear OG,Indica-dominant,Medium,Unknown,"['Citrus', 'Earthy', 'Spicy', 'Diesel', 'Pine']","['Relaxed', 'Body-buzz', 'Balanced', 'Euphoric', 'Long-lasting']"
Kees' Old School Haze,Old School Haze,Sativa,High,Unknown,"['Ammonia', 'Citrus', 'Musky']","['Trippy', 'Cerebral', 'Uplifting', 'Euphoric']"
Khufu,Kuchi x SFV OG Kush,Indica-dominant (75%),20-22%,Unknown,"['Citrus', 'Sage', 'Lime', 'Pepper', 'Coffee']","['Relaxed', 'Talkative', 'Calming', 'Body-buzz']"
Killer Grape,Querkle x Killer Queen,Indica/sativa (50/50),High,Unknown,"['Earthy', 'Hashish', 'Grape']","['Body-buzz', 'Cerebral', 'Balanced', 'Relaxed']"
Killer Purps,Buzz Bomb x Sour Diesel,Sativa-dominant,19-21%,Unknown,"['Sweet', 'Diesel', 'Citrus', 'Skunk']","['Motivated', 'Cerebral', 'Happy', 'Uplifting']"
Killer Queen,Airborne G13 x Cinderella 99,Indica-dominant,Medium,Unknown,"['Sweet', 'Pineapple', 'Cherry', 'Tropical', 'Fruity']","['Energetic', 'Happy', 'Cerebral', 'Creative', 'Uplifting']"
Killer White,White Widow,Indica/sativa,14-17%,Unknown,"['Fruity', 'Sweet']","['Happy', 'Strong', 'Relaxed', 'Talkative']"
KillerBee Honey,Secret,Sativa-dominant (60%),Medium,Unknown,"['Earthy', 'Sweet', 'Fresh']","['Cerebral', 'Energetic', 'Uplifting', 'Creative']"
King's Kush,Grape x OG Kush,Indica-dominant (70%),20%,Unknown,"['Grape', 'Kushy', 'Earthy']","['Happy', 'Couch-lock', 'Relaxed', 'Dreamy', 'Body-buzz']"
Kiss Dragon,Nepal x Black Domina,Indica-dominant (60%),18%,Unknown,"['Sweet', 'Caramel', 'Fruity', 'Hashish']","['Body-buzz', 'Energetic', 'Balanced']"
Kiwi Kush,Grapefruit Kush,Indica-dominant,14-18%,Unknown,"['Fruity', 'Sweet', 'Grapefruit']","['Clear-headed', 'Relaxed', 'Mellow', 'Body-buzz']"
Kong 47,AK-47 x King Kong,Indica-dominant,Medium,Unknown,"['Skunk', 'Fruity']","['Long-lasting', 'Relaxed', 'Attentive']"
Kosher Choco Kush,White Choco x Kosher Kush,Indica/sativa (50/50),21%,0.40%,"['Earthy', 'Chocolate', 'Pine']","['Happy', 'Body-buzz', 'Calming', 'Tingly', 'Relaxed']"
Kosher Kush,Jew Gold Cut,Indica-dominant,Medium,Unknown,"['Pungent', 'Earthy', 'Spicy', 'Fruity']","['Sleepy', 'Happy', 'Strong', 'Relaxed', 'Cerebral']"
Kosher Tangie Kush,Kosher Kush x Tangie,Indica-dominant (60%),21%,0.40%,"['Earthy', 'Pungent', 'Citrus']","['Long-lasting', 'Calming', 'Relaxed', 'Happy', 'Body-buzz']"
Kreamy Karamel,Black Domina x Maple Leaf Indica x Afghani,Indica (100%),15-16%,0.50%,"['Sweet', 'Fruity', 'Spicy']","['Relaxed', 'Body-buzz', 'Narcotic', 'Dreamy']"
Kritikal-K,Critical x Northern Lights,Indica-dominant (70%),19-20%,0.30%,"['Earthy', 'Lemon', 'Citrus', 'Sweet']","['Relaxed', 'Body-buzz', 'Sleepy', 'Narcotic']"
Kuchi,Cheese x SFV OG Kush,Indica-dominant (60%),20-22%,Unknown,"['Earthy', 'Sweet', 'Fruity', 'Cheese', 'Kushy']","['Relaxed', 'Sleepy', 'Happy']"
Kush Bomb,Big Bomb x Californian Kush,Indica/sativa,20-25%,Unknown,"['Citrus', 'Diesel']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
Kush-N-Cheese,UK Cheese x Emerald OG Kush,Sativa-dominant (60%),High,Low,"['Cheese', 'Fruity', 'Citrus', 'Diesel']","['Sociable', 'Talkative', 'Euphoric']"
Kushadelic,OG Kush x G13 Haze,Indica-dominant (80%),High,Unknown,"['Citrus', 'Flowery', 'Earthy']","['Tingly', 'Body-buzz', 'Creative', 'Cerebral', 'Relaxed']"
Kushage,S.A.G.E. x OG Kush,Indica/sativa,Medium,Unknown,"['Earthy', 'Spicy', 'Sage', 'Sandalwood']","['Euphoric', 'Balanced', 'Relaxed', 'Body-buzz']"
Kushberry,OG Kush x Oregon Blueberry,Indica-dominant (70%),High,Unknown,"['Fruity', 'Kushy', 'Blueberry', 'Sweet']","['Relaxed', 'Body-buzz', 'Uplifting', 'Calming']"
LA Affie,LA Affie,Indica (90-100%),Medium,Unknown,"['Herbal', 'Spicy', 'Fruity']","['Relaxed', 'Giggly', 'Strong', 'Happy', 'Calming']"
LA Amnesia,Kush x Amnesia Haze,Sativa-dominant,20-24%,0.10%,"['Citrus', 'Earthy', 'Fruity']","['Long-lasting', 'Energetic', 'Uplifting', 'Euphoric']"
La Blanca,Black Domina x Great White Shark x Snow White,Indica/sativa,14-15%,0.50%,"['Fresh', 'Sweet', 'Earthy', 'Citrus']","['Mellow', 'Creative', 'Balanced', 'Clear-headed', 'Relaxed', 'Body-buzz']"
LA Cannalope,LA Confidential x Cannalope Haze,Indica/sativa (50/50),Medium,Unknown,"['Sweet', 'Spicy', 'Earthy']","['Cerebral', 'Strong', 'Relaxed']"
LA Cheese,LA Confidential x Big Buddha Cheese,Indica (90-100%),Medium,Medium,"['Sweet', 'Pungent', 'Cheese', 'Skunk']","['Happy', 'Relaxed']"
LA Chocolat,LA Confidential x Chocolope,Indica-dominant (60%),High,Unknown,"['Earthy', 'Chocolate', 'Fruity']","['Cerebral', 'Euphoric', 'Relaxed']"
LA Confidential,Afghani x OG LA Affie,Indica (90-100%),High,Unknown,"['Sweet', 'Earthy', 'Spicy']","['Relaxed', 'Strong', 'Energetic']"
La Niña,South Indian x Haze x Brazilian,Indica/sativa,High,Unknown,"['Citrus', 'Fruity', 'Pungent']","['Energetic', 'Uplifting', 'Relaxed']"
LA Ultra,MK-Ultra x LA Confidential,Indica-dominant (80%),19-23%,Unknown,"['Sweet', 'Spicy']","['Narcotic', 'Relaxed', 'Strong', 'Giggly']"
LA Woman,LA Confidential x Martian Mean Green,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Relaxed', 'Uplifting']"
Ladyburn 1974,Ice Dream x Jack Herer,Indica/sativa (50/50),21.80%,0.11%,"['Herbal', 'Spicy']","['Strong', 'Energetic', 'Uplifting', 'Narcotic', 'Relaxed']"
Landysh,Skunk 2 x Hawaiian x Afghani,Sativa-dominant (60%),Medium,Unknown,"['Fresh', 'Lavender', 'Tropical', 'Fruity']","['Creative', 'Motivated', 'Happy', 'Uplifting']"
Langui Kush,Harlequin x Mango x OG Kush,Sativa-dominant (80%),Medium,High,"['Fruity', 'Sweet', 'Mango']","['Smooth', 'Energetic', 'Clear-headed']"
Larry Bird Kush,Sunset Sherbet x Thin Mint Girl Scout Cookies,Indica/sativa (50/50),24-26%,1%,"['Sweet', 'Grape', 'Mint', 'Fresh']","['Strong', 'Cerebral', 'Balanced', 'Uplifting', 'Relaxed', 'Body-buzz']"
Larry OG Kush,Larry OG x SFV OG Kush,Indica/sativa,Medium,Unknown,"['Diesel', 'Lemon', 'Chemical']","['Sociable', 'Calming', 'Relaxed', 'Balanced']"
Las Vegas Purple Kush BX,Las Vegas Purple Kush x Sin City Kush,Indica-dominant (80%),High,Unknown,"['Sweet', 'Lavender']","['Relaxed', 'Strong']"
Laughing Buddha,Jamaican x Thai,Sativa-dominant (80%),High,Low,"['Sweet', 'Sour', 'Earthy', 'Spicy', 'Fruity']","['Uplifting', 'Happy', 'Creative', 'Relaxed', 'Energetic']"
Lava Cake,Grape Pie x Thin Mint Girl Scout Cookies,Indica-dominant,High,Low,"['Sweet', 'Creamy', 'Grape', 'Berry']","['Relaxed', 'Couch-lock', 'Strong', 'Happy']"
Lebron Haze,Haze x Lemon Thai,Sativa-dominant (85%),22%,Low,"['Lemon', 'Citrus']","['Euphoric', 'Cerebral', 'Creative']"
Legendary Punch,Legend OG x Purple Punch,Indica-dominant (60%),19%,Medium,"['Lavender', 'Berry', 'Grape']","['Cerebral', 'Relaxed', 'Body-buzz']"
Legends Gold,Pot of Gold x Big Buddha Cheese,Indica (90-100%),Medium,Unknown,"['Cheese', 'Hashish', 'Pungent']","['Body-buzz', 'Meditative', 'Narcotic', 'Long-lasting', 'Strong']"
Lemon Alien Dawg,Lemon Kush x Alien Dawg,Indica-dominant,17–23%,Low,"['Sour', 'Earthy', 'Sweet', 'Lemon']","['Happy', 'Relaxed', 'Euphoric']"
Lemon Auto CBD,Amnesia x Juanita la Lagrimosa x Lowryder,Sativa-dominant autoflowering,8%,8%,"['Fresh', 'Cherry', 'Citrus', 'Fruity']","['Balanced', 'Uplifting', 'Mellow', 'Relaxed']"
Lemon Candy,North American indica x NYC Diesel,Sativa-dominant (60%),Medium,Unknown,"['Citrus', 'Lemon', 'Skunk']","['Uplifting', 'Euphoric', 'Relaxed']"
Lemon Cherry Gelato,Girl Scout Cookies x Sunset Sherbet,Indica-dominant,High,Low,"['Citrus', 'Sweet', 'Berry']","['Calming', 'Relaxed']"
Lemon Garlic OG,OG Kush,Indica-dominant (80%),17-20%,0.10%,"['Garlic', 'Lemon', 'Pine']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz']"
Lemon Haze,Lemon Skunk x Amnesia Haze,Sativa-dominant (60%),21%,Unknown,"['Skunk', 'Citrus', 'Lemon']","['Relaxed', 'Euphoric', 'Cerebral', 'Trippy', 'Happy', 'Energetic']"
Lemon Head,Lemon x Lemonade,Sativa-dominant,High,Unknown,"['Sweet', 'Lemon', 'Sour']","['Energetic', 'Strong', 'Cerebral']"
Lemon Ice,ICE x Lemon Haze,Sativa-dominant (60%),Medium,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Energetic', 'Uplifting', 'Creative']"
Lemon Kush,Kush x Lemon,Indica/sativa (50/50),20%,Unknown,"['Fresh', 'Sweet', 'Citrus']","['Sociable', 'Giggly', 'Uplifting', 'Relaxed', 'Cerebral']"
Lemon Kush Headband,215 Super Bud x Headband x Original OG,Sativa-dominant (70%),19-23%,0.10%,"['Sour', 'Fuel', 'Woody', 'Lemon', 'Fruity']","['Euphoric', 'Creative', 'Long-lasting', 'Energetic', 'Cerebral']"
Lemon Larry OG Kush-IBL,OG Kush x OG Kush Lemon Larry,Indica-dominant,High,Low,"['Sour', 'Kushy', 'Lemon', 'Diesel']","['Sedative', 'Long-lasting', 'Strong', 'Relaxed']"
Lemon OG Candy,Super Lemon OG x Amnesia Haze,Sativa-dominant (65%),20%,Unknown,"['Earthy', 'Lemon', 'Spicy']","['Uplifting', 'Euphoric', 'Cerebral', 'Creative']"
Lemon OG Haze,Haze 1 x Lemon OG Kush,Sativa-dominant,Medium,Medium,"['Citrus', 'Lemon', 'Pineapple']","['Motivated', 'Happy', 'Uplifting', 'Energetic']"
Lemon OG Kush,The OG 18 x Lemon Skunk,Indica-dominant (60%),Medium,Unknown,"['Fruity', 'Diesel', 'Lemon', 'Earthy', 'Spicy']","['Relaxed', 'Calming', 'Trippy', 'Euphoric']"
Lemon Power Haze,Lemon Skunk x Amnesia Haze,Sativa-dominant (75%),20%,Unknown,"['Lemon', 'Citrus', 'Sweet', 'Fresh']","['Long-lasting', 'Energetic', 'Motivated', 'Euphoric', 'Creative']"
Lemon Shining Silver Haze,Lemon Skunk x Amnesia Haze,Sativa-dominant (75%),21%,Low,"['Lemon', 'Citrus', 'Sweet', 'Fruity']","['Sociable', 'Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
Lemon Skunk,Skunk,Sativa-dominant (60%),Medium,Unknown,"['Citrus', 'Skunk']","['Creative', 'Calming', 'Sociable', 'Cerebral']"
Lemon Stilton,Jack The Ripper x Exodus Cheese,Indica/sativa (50/50),Medium,Unknown,"['Sour', 'Lemon', 'Cheese', 'Candy']","['Uplifting', 'Relaxed', 'Balanced']"
Lemon Thai Kush,White Widow x Haze,Sativa-dominant (60%),16-20%,0.10%,"['Citrus', 'Pine', 'Flowery', 'Woody', 'Pepper']","['Cerebral', 'Relaxed']"
Lemon Tree,Sour Diesel x Lemon Skunk,Indica-dominant (55%),23%,Low,"['Citrus', 'Tropical', 'Lemon', 'Diesel', 'Skunk', 'Fruity']","['Uplifting', 'Happy', 'Relaxed']"
Lemon Walker,Skywalker OG x Lemon Skunk,Indica-dominant (60%),Medium,Unknown,"['Citrus', 'Fruity', 'Lemon']","['Relaxed', 'Cerebral', 'Uplifting', 'Happy']"
Lemon Wonder Automatic,Lowryder x Lemon OG,Indica autoflowering,Medium,Low,Lemon,Cerebral
Lemon Zkittle,Las Vegas Lemon Skunk x Zkittlez,Sativa-dominant (60%),20%,Unknown,"['Sweet', 'Lemon', 'Skunk', 'Citrus']","['Tingly', 'Relaxed', 'Cerebral', 'Strong', 'Happy']"
Lemonchello,Lemonade x Cherry Pie,Indica/sativa,17%,Low,"['Fruity', 'Cherry', 'Lemon', 'Citrus', 'Lime']","['Uplifting', 'Happy', 'Relaxed']"
Lemonesia,Amnesia Haze x Sour Diesel,Sativa-dominant,Medium,Unknown,"['Sour', 'Lemon', 'Pine']","['Cerebral', 'Uplifting']"
Liberty Haze,ChemDawg 91 x G13,Sativa-dominant (60%),25%,Unknown,"['Citrus', 'Flowery']","['Uplifting', 'Cerebral', 'Strong']"
Little Dipper,Milky Way x Lowryder 2,Indica-dominant autoflowering,Low,High,"['Herbal', 'Sweet']","['Relaxed', 'Narcotic', 'Sleepy']"
LOL,Nebula x Afghani,Sativa-dominant,23%,0.50%,"['Citrus', 'Honey', 'Fruity']","['Giggly', 'Uplifting', 'Euphoric', 'Happy', 'Energetic']"
London Pound Cake,Sunset Sherbet,Indica-dominant,21–25%,Low,"['Lemon', 'Berry', 'Sweet', 'Grape', 'Vanilla']","['Munchies', 'Relaxed']"
Lost Coast Hash Plant,Lost Coast OG x G13 x Hash Plant,Indica-dominant (80%),17-21%,0.10%,"['Fruity', 'Musky', 'Spicy', 'Sweet', 'Earthy']","['Happy', 'Long-lasting', 'Relaxed', 'Body-buzz']"
Lost Coast OG,Lemon Thai x Pakistani Kush,Indica-dominant (75%),17-20%,Unknown,"['Lemon', 'Sour', 'Citrus', 'Woody', 'Tropical', 'Earthy']","['Calming', 'Relaxed', 'Strong']"
Louis XIII OG,Louis XIII x Tahoe OG Kush,Indica/sativa,High,Unknown,"['Diesel', 'Lemon', 'Citrus']","['Motivated', 'Energetic', 'Uplifting', 'Euphoric', 'Creative']"
Lowryder,Lowryder x Santa Maria,Indica-dominant autoflowering,Low,Unknown,"['Spicy', 'Woody', 'Herbal']","['Calming', 'Relaxed']"
Lowryder 2,Lowryder x Santa Maria,Indica-dominant autoflowering,Low,Unknown,"['Spicy', 'Sweet', 'Herbal']","['Body-buzz', 'Happy', 'Relaxed']"
LSD,Original Skunk x Afghani,Indica-dominant (70%),High,Unknown,"['Musky', 'Earthy', 'Nutty', 'Hashish']","['Strong', 'Euphoric', 'Trippy', 'Psychedelic', 'Cerebral']"
LSD Poison,Lavender x Skunk x Durban Poison,Sativa-dominant (75%),21%,Unknown,"['Pepper', 'Flowery', 'Fruity']","['Relaxed', 'Uplifting', 'Trippy', 'Euphoric', 'Body-buzz']"
Lucky Queen,Silver Pearl x Santa Maria,Indica-dominant (70%),Medium,Unknown,"['Earthy', 'Fresh', 'Flowery']","['Long-lasting', 'Body-buzz', 'Relaxed']"
MAC 1,Alien Cookies x Miracle 15,Indica/sativa (50/50),20–23%,Low,"['Sour', 'Creamy', 'Sweet', 'Earthy']","['Creative', 'Focused', 'Energetic', 'Uplifting', 'Euphoric']"
Magma,Critical x White strain,Indica-dominant,High,Unknown,"['Fruity', 'Pungent', 'Citrus', 'Sweet']","['Relaxed', 'Calming', 'Strong', 'Narcotic']"
Magnum Platinum Haze,S5 Haze x Chem Dawg,Sativa-dominant (80%),Medium,Unknown,"['Pine', 'Fresh', 'Woody']","['Uplifting', 'Body-buzz', 'Motivated', 'Cerebral', 'Creative']"
Mahayana,Dominator x Lucifer OG,Sativa-dominant,Medium,Unknown,"['Earthy', 'Fresh', 'Nutty']","['Cerebral', 'Euphoric', 'Meditative', 'Energetic']"
Malakoff,Strawberry Haze x White Widow,Sativa-dominant (80%),20%,Low,"['Strawberry', 'Creamy', 'Sour', 'Fresh']","['Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
Malawi Gold,Malawi,Sativa,Medium,Unknown,"['Spicy', 'Earthy', 'Fresh']","['Cerebral', 'Energetic', 'Uplifting', 'Euphoric']"
Malibú,The Dark Side x Amnesia,Sativa-dominant (80%),High,Unknown,"['Earthy', 'Woody', 'Spicy', 'Fresh']","['Creative', 'Talkative', 'Energetic', 'Euphoric', 'Cerebral']"
Mandalay,Burma x Chronic,Sativa-dominant (80%),20%,Unknown,"['Sweet', 'Vanilla', 'Candy', 'Licorice']","['Attentive', 'Happy', 'Relaxed', 'Euphoric']"
Mango Sapphire,Bubbas Gift x OG Afghan,Indica-dominant (85%),21-23%,0.10%,"['Fruity', 'Sweet']","['Relaxed', 'Calming', 'Sleepy', 'Narcotic']"
Mango Skunk,Skunk Special x Jock Horror,Indica-dominant,Medium,Low,"['Cinnamon', 'Tropical', 'Earthy', 'Mango']","['Happy', 'Uplifting', 'Euphoric']"
Mango x Widow,Mango Haze x Black Widow,Sativa-dominant,Medium,Unknown,"['Sweet', 'Fruity', 'Fresh', 'Mango']","['Creative', 'Balanced', 'Energetic', 'Cerebral']"
Maple Leaf Indica,Afghani Mazar-i-Sharif,Indica (90-100%),Medium,Unknown,"['Herbal', 'Hashish', 'Citrus', 'Orange']","['Giggly', 'Relaxed', 'Happy', 'Couch-lock']"
Marionberry Kush,Raspberry Kush x Space Queen,Indica-dominant (60%),23%,Unknown,"['Pineapple', 'Raspberry', 'Passionfruit', 'Mango', 'Blueberry']","['Happy', 'Balanced', 'Cerebral', 'Psychedelic']"
Marmalate Early Version,Critical Mass x Lavender,Indica-dominant (70%),21%,Unknown,"['Sweet', 'Vanilla', 'Candy', 'Woody']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz']"
Martian Kush,The OG 18 x Martian Mean Green,Indica-dominant (60%),Medium,Unknown,"['Citrus', 'Spicy', 'Earthy']","['Strong', 'Calming', 'Relaxed']"
Martian Mean Green,Sharksbreath x G13 Haze,Sativa-dominant (60%),High,Unknown,"['Citrus', 'Lemon', 'Skunk']","['Cerebral', 'Uplifting', 'Energetic']"
MassKush,Confidencial OG x Critical Mass,Indica (90-100%),High,Unknown,"['Sweet', 'Pungent', 'Earthy']","['Body-buzz', 'Meditative', 'Narcotic', 'Long-lasting', 'Relaxed']"
Mataró Blue,Blue Monster x Afghani Mazar-i-Sharif x Black Domina,Indica-dominant,High,Unknown,"['Fruity', 'Sweet']","['Motivated', 'Creative', 'Relaxed', 'Euphoric', 'Cerebral']"
Mataró Blue CBD,Mataró Blue x CBD strain,Indica-dominant,10%,7%,"['Sweet', 'Fruity']","['Cerebral', 'Relaxed', 'Euphoric', 'Calming']"
Maui Wowie,Hawaiian,Sativa-dominant,20%,Unknown,"['Fresh', 'Sweet', 'Earthy']","['Relaxed', 'Creative', 'Uplifting', 'Munchies', 'Cerebral']"
Mayday Express,Misty x Lowryder 2,Indica/sativa autoflowering,12-15%,0.20%,"['Cinnamon', 'Fruity', 'Citrus']","['Euphoric', 'Relaxed', 'Smooth']"
Medi Bomb 1,CBD strain x Bomb 1,Indica-dominant,15-20%,High,"['Sweet', 'Sour']","['Strong', 'Relaxed', 'Sleepy', 'Calming']"
Medi Bomb 2,Bomb 2 x Super Silver Haze,Sativa-dominant,15-20%,Low,"['Earthy', 'Spicy']","['Cerebral', 'Energetic', 'Uplifting', 'Euphoric']"
Medical 49,AK-49 x CBD strainxRussian Snow x Skunk 1,Indica-dominant (70%),8%,8%,"['Sweet', 'Fruity']","['Body-buzz', 'Relaxed', 'Smooth']"
Medical Kush,Chitral x Skunk 1,Indica-dominant (70%),Medium,Medium,"['Sweet', 'Lemon', 'Herbal', 'Kushy']","['Body-buzz', 'Clear-headed', 'Cerebral', 'Balanced']"
Medicine Man,Black Widow x Afghani,Indica-dominant,Medium,High,"['Earthy', 'Spicy', 'Pine']","['Body-buzz', 'Narcotic', 'Relaxed']"
Medijuana CBD,CBD strain x Shark Shock,Indica-dominant (80%),Low,High,"['Citrus', 'Spicy', 'Skunk', 'Sandalwood']","['Calming', 'Sociable', 'Relaxed', 'Happy']"
Medikit,CBD strain x Harlequin,Indica-dominant,1%,20%,"['Mango', 'Orange', 'Lemon', 'Sweet']","['Clear-headed', 'Relaxed']"
Mega Power Plant,Power Plant x OG Kush x Northern Lights,Indica (90-100%),Medium,Unknown,"['Herbal', 'Earthy', 'Spicy']","['Relaxed', 'Strong', 'Couch-lock', 'Happy', 'Body-buzz']"
Melon Gum,Lavender x Bubble Gum,Indica/sativa (50/50),Medium,Unknown,"['Lemon', 'Flowery', 'Sweet', 'Fruity']","['Sleepy', 'Happy', 'Uplifting', 'Relaxed', 'Calming']"
Mendocino Skunk,Mendocino x Skunk,Indica-dominant (60%),16-20%,0.10%,"['Sweet', 'Strawberry', 'Skunk', 'Fruity']","['Uplifting', 'Balanced', 'Relaxed', 'Cerebral']"
Mendocino x Purple Kush,Mendocino x Purple Kush,Indica-dominant (60%),High,Low,"['Sweet', 'Earthy']","['Cerebral', 'Relaxed', 'Strong', 'Happy']"
Mexican Sativa,Pakistani Hash Plant x Durban x Mexican,Sativa-dominant (70%),Medium,Unknown,"['Sandalwood', 'Anise', 'Spicy', 'Herbal', 'Sweet']","['Happy', 'Clear-headed', 'Uplifting', 'Euphoric']"
Michka,Eagle Bill,Sativa-dominant (80%),Medium,Unknown,"['Fruity', 'Citrus']","['Uplifting', 'Creative', 'Cerebral']"
Mickey Kush,Sweet Irish Kush x Jack The Ripper,Sativa-dominant (75%),High,Unknown,"['Sour', 'Lemon', 'Earthy']","['Cerebral', 'Uplifting', 'Energetic']"
Micron Auto Tao,Lowryder 2,Indica-dominant autoflowering,Low,Unknown,"['Sweet', 'Spicy', 'Herbal']","['Relaxed', 'Body-buzz', 'Happy']"
Midnight Mass,Kashmir,Indica/sativa,15–25%,1%,"['Sour', 'Citrus', 'Fruity', 'Berry']","['Energetic', 'Body-buzz', 'Uplifting', 'Creative']"
Mimosa,Purple Punch,Sativa-dominant (70%),High,Low,"['Orange', 'Berry', 'Sweet', 'Fruity']","['Cerebral', 'Happy', 'Energetic', 'Relaxed', 'Focused']"
Mimosa Evo,Orange Punch x Mimosa,Indica-dominant (60%),25%,Low,"['Lemon', 'Berry', 'Orange', 'Citrus']","['Uplifting', 'Happy']"
Mimosa x Orange Punch,Mimosa Evo x Orange Punch,Indica-dominant (65%),30%,Low,"['Sweet', 'Citrus', 'Orange', 'Candy']","['Uplifting', 'Euphoric', 'Happy']"
MK-Ultra,G13 x OG Kush,Indica-dominant,High,Unknown,"['Pine', 'Earthy', 'Fresh']","['Calming', 'Long-lasting', 'Relaxed', 'Body-buzz']"
Mkage,S.A.G.E. x MK-Ultra,Indica/sativa,Medium,Medium,"['Herbal', 'Woody', 'Spicy']","['Happy', 'Calming', 'Relaxed']"
Mob Boss,Chemdawg D,Sativa-dominant (60%),High,Low,"['Sweet', 'Berry']","['Motivated', 'Clear-headed', 'Relaxed', 'Energetic']"
Moby Dick,White Widow x Haze,Sativa-dominant (60%),21%,Unknown,"['Flowery', 'Lemon', 'Spicy']","['Psychedelic', 'Energetic', 'Uplifting', 'Long-lasting']"
Moby Dick 2,JYD Haze x Northern Lights,Sativa-dominant (55%),16-20%,Low,"['Woody', 'Lemon', 'Spicy']","['Long-lasting', 'Relaxed', 'Cerebral']"
Moby Dick CBD,Moby Dick x CBD strain,Sativa-dominant (60%),Medium,High,"['Lemon', 'Spicy', 'Woody']","['Happy', 'Cerebral', 'Relaxed', 'Euphoric']"
Moby XL,White Widow x Haze,Sativa-dominant (65%),19%,Medium,"['Musky', 'Sweet', 'Woody']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
Mohan Ram,S.A.D. Sweet Afgani Delicious S1 x White Widow,Indica-dominant (85%),Medium,Unknown,"['Fruity', 'Musky', 'Flowery', 'Sweet']","['Relaxed', 'Calming', 'Sleepy', 'Euphoric']"
Money Maker,Master Kush x Skunk x Hindu Kush,Indica-dominant (70%),Medium,Unknown,"['Earthy', 'Nutty', 'Berry', 'Spicy']","['Relaxed', 'Calming', 'Sleepy', 'Narcotic']"
Monster Zkittlez,Grape Ape x Grapefruit,Indica-dominant (80%),22-23%,Low,"['Sweet', 'Grape', 'Berry', 'Fruity']","['Happy', 'Cerebral', 'Euphoric', 'Uplifting', 'Body-buzz']"
Moon Walker Kush,Skywalker OG x Blue Medi Kush,Indica-dominant (80%),High,Unknown,"['Citrus', 'Lemon', 'Diesel']","['Narcotic', 'Strong', 'Relaxed']"
Morning Glory,Hawaiian x Afghani x Skunk 1,Sativa-dominant (60%),High,Low,"['Pineapple', 'Fruity', 'Flowery', 'Skunk']","['Uplifting', 'Body-buzz', 'Cerebral', 'Balanced']"
Moscow Blueberry,Secret strainxBlueberry x AK-47,Indica/sativa (50/50),18%,5%,"['Berry', 'Sweet', 'Woody']","['Calming', 'Motivated', 'Cerebral', 'Relaxed', 'Happy', 'Sociable']"
Motavation,Warlock x Sensi Star,Indica-dominant,High,Unknown,"['Pine', 'Fresh', 'Earthy', 'Woody']","['Couch-lock', 'Strong', 'Long-lasting', 'Creative', 'Body-buzz']"
Mother Gorilla,Reina Madre x Jack The Ripper,Sativa-dominant (70%),18+%,Low,"['Fruity', 'Sweet', 'Tropical']","['Focused', 'Alert', 'Relaxed', 'Cerebral']"
Mozambica,Landrace Mozambique,Sativa (90-100%),Medium,Unknown,"['Spicy', 'Tropical', 'Fruity']","['Meditative', 'Euphoric', 'Cerebral', 'Uplifting']"
Mystical Blue,Blueberry x Northern Lights,Indica-dominant (80%),18%,Medium,"['Sweet', 'Earthy', 'Berry']","['Calming', 'Relaxed', 'Happy', 'Couch-lock']"
Nagual,Candida (CD-1) x Sour Diesel,Indica-dominant,8-10%,10%,"['Diesel', 'Fresh', 'Spicy']","['Body-buzz', 'Calming', 'Balanced', 'Relaxed']"
Narkosis,Somango x Critical,Indica-dominant,Medium,Unknown,"['Earthy', 'Fruity', 'Herbal']","['Euphoric', 'Calming', 'Narcotic', 'Relaxed']"
Nepal Jam,Nepal x Jamaican,Sativa-dominant (60%),14-15%,Unknown,"['Woody', 'Fruity']","['Happy', 'Cerebral', 'Uplifting']"
Nepal Kush,Hash Plant,Indica (90-100%),Medium,Unknown,"['Herbal', 'Hashish', 'Sweet', 'Spicy']","['Body-buzz', 'Calming', 'Relaxed']"
Nepali Queen,Nepali OG x Space Queen,Indica-dominant (80%),Medium,Unknown,"['Pine', 'Lime', 'Cherry', 'Fuel']","['Alert', 'Clear-headed', 'Relaxed', 'Body-buzz']"
Nev OS,Nevilles Haze x Skunk 1,Sativa-dominant,High,Unknown,"['Earthy', 'Fresh', 'Skunk', 'Fruity']","['Focused', 'Body-buzz', 'Creative', 'Cerebral', 'Balanced']"
