Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Hash Bomb,Amsterdam Skunk x Bomb 1 x Hash Plant,Indica-dominant,15-20%,High,"['Spicy', 'Herbal']","['Calming', 'Relaxed', 'Strong', 'Couch-lock']"
Hash Heaven,Lavender x G13 Hash Plant x G13 Haze,Sativa-dominant (80%),High,Unknown,"['Herbal', 'Sweet', 'Pungent']","['Strong', 'Uplifting', 'Cerebral']"
Hash Ultimate,Skunk x Northern Lights x Afghan Kush,Indica-dominant (80%),18%,Low,"['Herbal', 'Earthy', 'Skunk']","['Calming', 'Relaxed', 'Strong']"
Hawaii Maui Waui,Hawaiian sativa,Sativa-dominant,Medium,Unknown,"['Lemon', 'Sweet', 'Citrus', 'Tropical']","['Munchies', 'Euphoric', 'Uplifting', 'Happy']"
Hawaiian Haze,Hawaiian,Sativa-dominant,19-26%,Low,"['Earthy', 'Fresh', 'Pine', 'Flowery', 'Lemon']","['Creative', 'Euphoric', 'Uplifting', 'Energetic', 'Happy']"
Hawaiian Snow,Hawaiian sativa x Laos,Sativa-dominant (80%),23%,0.17%,"['Sweet', 'Fresh', 'Tropical', 'Pine']","['Creative', 'Sociable', 'Motivated', 'Euphoric', 'Uplifting', 'Relaxed', 'Focused']"
Haze Berry,Blueberry x Shining Silver Haze,Sativa-dominant (80%),20%,Medium,"['Citrus', 'Sweet', 'Berry']","['Strong', 'Happy', 'Uplifting', 'Relaxed', 'Cerebral']"
Haze Gom,Lowryder 2 x Super Silver Haze,Sativa-dominant autoflowering,Medium,Unknown,"['Fruity', 'Pine']","['Motivated', 'Cerebral', 'Uplifting']"
Haze Mist,Haze x White Widow,Sativa-dominant,16%,Unknown,"['Woody', 'Fruity', 'Fresh']","['Cerebral', 'Attentive', 'Energetic']"
Head Cheese,818 Headband x Big Buddha Cheese,Indica-dominant (75%),Medium,Unknown,"['Cheese', 'Kushy', 'Chemical']","['Cerebral', 'Clear-headed', 'Uplifting', 'Meditative', 'Relaxed']"
Headbanger,Biker Kush x Sour Diesel,Sativa-dominant,Medium,Unknown,"['Diesel', 'Lime', 'Sour', 'Pungent']","['Energetic', 'Cerebral', 'Euphoric', 'Long-lasting']"
Hell’s Bells,Strawberry Sour Diesel x Kuchi,Indica-dominant (70%),19-21%,Unknown,"['Earthy', 'Spicy', 'Hashish', 'Sage', 'Kushy']","['Relaxed', 'Happy', 'Smooth', 'Calming', 'Talkative']"
Hemmy Black,Cherry Hemmingway x Darkling Sativa,Sativa-dominant,Medium,Unknown,"['Ammonia', 'Cherry', 'Creamy', 'Pungent', 'Vanilla']","['Energetic', 'Cerebral', 'Creative']"
Herijuana Jack 33,Jack 33 x Herijuana,Indica/sativa,Medium,Unknown,"['Chemical', 'Grapefruit', 'Hashish', 'Fuel']","['Long-lasting', 'Body-buzz', 'Clear-headed']"
High Level,Skunk Haze x Lesotho,Sativa (90-100%),16-19%,Unknown,"['Sweet', 'Fruity', 'Pine']","['Sociable', 'Cerebral', 'Motivated', 'Uplifting', 'Energetic']"
Himalaya Gold,Nepal x North Indian,Indica-dominant (70%),12-13%,Unknown,"['Spicy', 'Earthy', 'Herbal']","['Happy', 'Relaxed', 'Calming']"
Hindu Cream,Big Buddha Cheese x Hindu Kush,Indica (90-100%),Medium,Unknown,"['Earthy', 'Skunk', 'Hashish', 'Pungent', 'Spicy']","['Relaxed', 'Long-lasting', 'Body-buzz', 'Mellow']"
Hindu Kush,Landrace from Hindu Kush,Indica (100%),18-20%,Medium,"['Fruity', 'Sweet']","['Relaxed', 'Creative', 'Tingly', 'Euphoric']"
Holy Grail 69,Punky Lion x Haze,Sativa-dominant (65%),21%,Unknown,"['Sweet', 'Fresh', 'Tropical']","['Uplifting', 'Motivated', 'Strong', 'Euphoric']"
Holy Grail Kush,Kosher Kush x The OG 18,Indica-dominant,High,Unknown,"['Lemon', 'Woody', 'Pine', 'Diesel', 'Sweet']","['Cerebral', 'Relaxed', 'Calming']"
Holy Punch,Grape x The Church,Indica-dominant (70%),20%,0.80%,"['Sweet', 'Spicy']","['Happy', 'Sociable', 'Body-buzz']"
Honey B,Landrace Vietnam,Sativa (90-100%),18%,0.80%,"['Flowery', 'Herbal', 'Sweet']","['Motivated', 'Creative', 'Uplifting', 'Energetic']"
Honey Bananas,Honey Boo x Strawberry Banana,Indica-dominant,High,Unknown,"['Sweet', 'Fruity', 'Banana', 'Tropical', 'Candy']","['Relaxed', 'Uplifting', 'Happy', 'Body-buzz']"
Honey Cream - Fast Flowering,Maple Leaf Indica x White Rhino x Blue Black,Indica-dominant (65%),16%,Medium,"['Earthy', 'Sweet']","['Strong', 'Calming', 'Relaxed']"
Honeybells,Caramelo x Carmen,Sativa-dominant (60%),7-10%,7-14%,"['Fresh', 'Fruity', 'Flowery', 'Lemon']","['Smooth', 'Calming', 'Sociable', 'Relaxed']"
Houchie Kouchie Kush,G13 x OG Kush,Indica-dominant (70%),24%,Unknown,"['Earthy', 'Kushy', 'Pine']","['Body-buzz', 'Happy', 'Balanced', 'Euphoric']"
HulkBerry,OG Kush x Strawberry Diesel,Sativa-dominant (65%),27%,Low,"['Lemon', 'Fruity', 'Sweet', 'Fuel', 'Berry']","['Long-lasting', 'Creative', 'Strong', 'Energetic', 'Cerebral']"
Hurkle,Querkle x Harlequin,Indica-dominant (60%),10%,10%,"['Grape', 'Coffee', 'Chocolate']","['Body-buzz', 'Calming', 'Balanced', 'Relaxed']"
Hyper Glue,Apple Fritter,Indica-dominant (60%),29%,Low,"['Berry', 'Fruity']","['Long-lasting', 'Strong', 'Euphoric']"
Ice Cool,NYC Diesel,Sativa-dominant (60%),20-22%,0.70%,"['Diesel', 'Citrus', 'Fruity']","['Uplifting', 'Cerebral', 'Energetic', 'Euphoric', 'Strong', 'Trippy']"
Ice Cool CBD,Ice Cool x CBD strain,Sativa-dominant (60%),5-12%,9-13%,"['Citrus', 'Woody', 'Pine', 'Cypress']","['Smooth', 'Calming', 'Meditative']"
