UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
the-cure,The Cure,Sativa-dominant,"['HazeAC', 'Afghan Skunk']",Medium,Unknown,"['Sweet', 'Fruity', 'Fresh']","['Cerebral', 'Uplifting', 'Energetic']"
the-dark-side,The Dark Side,Sativa-dominant (60%),"['Haze Brothers', 'SFV OG Kush']",Medium,Unknown,"['Earthy', 'Woody', 'Nutty']","['Cerebral', 'Balanced', 'Calming', 'Body-buzz', 'Relaxed']"
the-doctor,The Doctor,Indica-dominant (70%),"['South Indian', 'Great White Shark', 'Super Skunk']",17%,0.21%,"['Skunk', 'Sweet']","['Narcotic', 'Calming', 'Relaxed']"
the-edge,The Edge,Sativa-dominant (75%),Unknown,17-21%,Unknown,"['Skunk', 'Sweet']","['Sociable', 'Relaxed', 'Uplifting']"
the-kali,The Kali,Indica (90-100%),"['Pakistani genetics', 'Afghani']",Medium,Unknown,"['Diesel', 'Lemon', 'Herbal']","['Euphoric', 'Narcotic', 'Relaxed', 'Happy', 'Couch-lock']"
the-og-18,The OG 18,Indica-dominant,OG Kush,High,Unknown,"['Citrus', 'Sour', 'Diesel']","['Relaxed', 'Uplifting', 'Happy']"
the-ox,The OX,Indica-dominant,"['Stone Mountain', 'Bubba Kush']",Medium,High,"['Berry', 'Spicy', 'Pine']","['Strong', 'Calming', 'Relaxed']"
the-stones,The Stones,Sativa-dominant,"['Haze', 'Skunk', 'Master Kush']",Medium,Unknown,"['Fresh', 'Earthy', 'Fruity']","['Uplifting', 'Euphoric', 'Cerebral']"
the-third-dimension,The Third Dimension,Sativa-dominant (60%),"['Apollo 13', 'Jack The Ripper']",16%,0.29%,"['Sweet', 'Pineapple', 'Tropical', 'Fruity']","['Calming', 'Talkative', 'Cerebral', 'Relaxed', 'Happy', 'Sociable']"
the-tombs,The Tombs,Sativa-dominant,"['Iron Cindy', 'Blue Rhino 1947']",Medium,Unknown,"['Sweet', 'Fresh', 'Berry', 'Fruity']","['Euphoric', 'Creative', 'Cerebral']"
the-true-og,The True OG,Indica-dominant,OG Kush,25-27%,Unknown,"['Diesel', 'Pine', 'Citrus', 'Earthy', 'Spicy']","['Euphoric', 'Long-lasting', 'Relaxed', 'Body-buzz', 'Balanced']"
the-ultimate,The Ultimate,Indica/sativa (50/50),Unknown,20%,Unknown,"['Earthy', 'Fresh', 'Pine']","['Energetic', 'Balanced', 'Relaxed', 'Body-buzz']"
the-void,The Void,Sativa-dominant (60%),"['Querkle', 'Apollo 13']",Medium,Unknown,"['Sweet', 'Grape', 'Sour', 'Pepper']","['Happy', 'Uplifting', 'Euphoric', 'Motivated']"
thin-mint-girl-scout-cookies,Thin Mint Girl Scout Cookies,Indica/sativa (50/50),"['Durban Poison', 'OG Kush']","['19-25%', 'High']",,"['Spicy', 'Fruity', 'Herbal', 'Mint', 'Sweet']","['Euphoric', 'Calming', 'Happy', 'Creative']"
think-big,Think Big,Sativa-dominant autoflowering,Think Different,Medium,Unknown,"['Citrus', 'Lemon', 'Herbal']","['Energetic', 'Sociable', 'Cerebral', 'Talkative', 'Uplifting']"
think-different,Think Different,Sativa-dominant autoflowering,"['AK-47', 'ruderalis']",16-18%,Unknown,"['Sweet', 'Citrus', 'Fruity']","['Energetic', 'Euphoric', 'Cerebral', 'Uplifting']"
think-fast,Think Fast,Sativa-dominant,"['Power Plant', 'Think Different']",Medium,Unknown,"['Pine', 'Pungent', 'Earthy', 'Spicy']","['Energetic', 'Cerebral', 'Uplifting', 'Creative']"
tijuana,Tijuana,Sativa (90-100%),"['Original Haze', 'Kali Mist']",High,Unknown,"['Sweet', 'Pine', 'Citrus', 'Fruity']","['Uplifting', 'Cerebral', 'Energetic', 'Strong']"
timewarp,Timewarp,Indica-dominant,"['Texada Timewarp', 'Romulan']",16%,0.8%,"['Sweet', 'Lemon', 'Fruity', 'Candy']","['Creative', 'Body-buzz', 'Relaxed', 'Cerebral', 'Balanced']"
tnt-kush,TNT Kush,Indica (90-100%),Pakistani genetics,18-22%,Low,"['Cypress', 'Cherry', 'Chocolate', 'Almond']","['Strong', 'Narcotic', 'Giggly', 'Relaxed', 'Happy']"
tnt-kush-cbd,TNT Kush CBD,Indica-dominant,"['TNT Kush', 'CBD strain']",10%,10%,"['Citrus', 'Woody', 'Spicy', 'Fruity']","['Calming', 'Long-lasting', 'Relaxed', 'Happy']"
top-44,Top 44,Indica-dominant,"['Viking', 'Skunk 1']",Medium,Unknown,"['Caramel', 'Lemon', 'Sweet']","['Relaxed', 'Couch-lock', 'Strong', 'Happy']"
top-dawg,Top Dawg,Sativa-dominant (60%),"['Mexican Sativa', 'Afghan Kush']",Medium,Unknown,"['Sweet', 'Pineapple', 'Musky', 'Pungent']","['Happy', 'Relaxed', 'Tingly']"
tora-bora,Tora Bora,Indica (90-100%),"['X18 Pure Pakistani', 'LA Confidential']",Medium,Unknown,"['Sweet', 'Spicy', 'Earthy']","['Happy', 'Calming', 'Strong', 'Relaxed']"
torpedo,Torpedo,Indica/sativa (50/50),Bubble Gum,High,Unknown,"['Flowery', 'Sweet', 'Fruity']","['Cerebral', 'Relaxed', 'Happy', 'Calming']"
toxic,Toxic,Sativa-dominant (60%),"['Criminal+', 'Ripper Haze']",Medium,Unknown,"['Earthy', 'Skunk', 'Berry', 'Tropical']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
toxic-blue-33,Toxic Blue 33,Indica-dominant,"['Killian', 'Blue Kronic']",Medium,Unknown,"['Sweet', 'Flowery', 'Berry']","['Body-buzz', 'Happy', 'Dreamy', 'Relaxed']"
trans-love,Trans Love,Sativa-dominant,Unknown,Medium,Unknown,"['Fruity', 'Spicy']","['Happy', 'Uplifting', 'Energetic', 'Motivated']"
trans-siberian,Trans Siberian,Indica/sativa autoflowering,"['White Russian', 'Auto 1']",High,Unknown,"['Skunk', 'Pungent']","['Relaxed', 'Strong']"
transkei,Transkei,Sativa (90-100%),African Landrace,Medium,Unknown,"['Grape', 'Citrus', 'Fruity']","['Motivated', 'Energetic', 'Happy', 'Uplifting', 'Focused']"
triangle-kush-cookies,Triangle Kush Cookies,Indica-dominant,"['Triangle Kush', 'Girl Scout Cookies']",High,Unknown,"['Sweet', 'Pungent', 'Herbal']","['Happy', 'Calming', 'Strong', 'Relaxed']"
triple-cheese,Triple Cheese,Indica-dominant (80%),"['Blue Cheese', 'Cheese']",High,High,"['Pungent', 'Sour', 'Cheese', 'Sweet']","['Happy', 'Body-buzz', 'Relaxed', 'Calming']"
tropicanna,Tropicanna,Sativa-dominant,"['Big Bud', 'White Widow']",26%,Low,"['Orange', 'Herbal', 'Lime', 'Berry', 'Lemon']","['Happy', 'Uplifting', 'Creative', 'Motivated']"
tropicanna-banana,Tropicanna Banana,Sativa-dominant (60%),"['Banana Kush', 'Tropicanna']",High,Low,"['Pungent', 'Earthy', 'Tropical', 'Fruity', 'Banana']","['Uplifting', 'Euphoric']"
tropimango,Tropimango,Indica-dominant (70%),Somango,18%,Unknown,"['Tropical', 'Sweet', 'Fruity']","['Relaxed', 'Happy', 'Calming']"
true-blueberry,True Blueberry,Indica-dominant,Blueberry,High,Unknown,"['Fruity', 'Berry']","['Creative', 'Happy', 'Relaxed', 'Euphoric']"
trueberry,Trueberry,Indica-dominant,"['Strawberry Banana', 'Blackberry']",Medium,Unknown,"['Berry', 'Pine', 'Earthy']","['Body-buzz', 'Cerebral', 'Relaxed']"
tundra-2,Tundra 2,Indica-dominant autoflowering,Tundra,Medium,Unknown,"['Citrus', 'Lemon']","['Happy', 'Calming', 'Body-buzz']"
twilight,Twilight,Indica-dominant,Unknown,10-15%,Unknown,"['Earthy', 'Sour', 'Skunk']","['Smooth', 'Relaxed', 'Body-buzz', 'Clear-headed', 'Talkative']"
txees-bilbo,Txees Bilbo,Indica-dominant,"['Afghani', 'Cheese']",Medium,Unknown,"['Cheese', 'Pungent']","['Relaxed', 'Smooth', 'Calming']"
txomango,Txomango,Indica-dominant,"['Korean Big Skunk', 'Jack Herer', 'Super Skunk']",Medium,Unknown,"['Tropical', 'Sweet']","['Body-buzz', 'Calming', 'Relaxed']"
u2,U2,Sativa-dominant,"['Haze', 'Early Girl', 'Early Pearl', 'Mexican', 'Super Skunk']",Medium,Unknown,Fruity,"['Uplifting', 'Euphoric', 'Cerebral']"
ultra-lemon-haze,Ultra Lemon Haze,Sativa-dominant autoflowering,"['Auto 1', 'Sour Diesel', 'Super Lemon Haze']",High,Unknown,"['Fruity', 'Citrus']","['Cerebral', 'Trippy', 'Uplifting', 'Energetic', 'Relaxed']"
ultra-skunk,Ultra Skunk,Sativa-dominant (60%),Skunk,11%,Unknown,"['Skunk', 'Pungent']","['Happy', 'Relaxed', 'Sociable']"
ultra-sour-kush,Ultra Sour Kush,Sativa-dominant (70%),"['East Coast Sour Diesel', 'MK-Ultra']",Medium,Unknown,"['Sour', 'Earthy', 'Diesel']","['Sociable', 'Giggly', 'Creative']"
ultra-white-amnesia,Ultra White Amnesia,Sativa-dominant (75%),"['Amnesia Haze', 'White Widow']",22%,Unknown,"['Citrus', 'Fruity', 'Grape']","['Sociable', 'Cerebral', 'Euphoric', 'Uplifting', 'Energetic']"
underdawg-kush,UnderDawg Kush,Sativa-dominant (60%),Chem Dawg,Medium,Unknown,"['Sweet', 'Pine', 'Sour']","['Relaxed', 'Uplifting', 'Creative']"
unknown-kush,Unknown Kush,Indica/sativa,"['Bay 11', 'Unknown strain']",21%,Unknown,"['Lemon', 'Fresh', 'Kushy']","['Cerebral', 'Relaxed', 'Balanced']"
utopia-haze,Utopia Haze,Sativa (90-100%),Brazilian landrace,22%,0.8%,"['Fresh', 'Mint', 'Citrus']","['Uplifting', 'Energetic', 'Happy', 'Cerebral']"
vanilla-frosting,Vanilla Frosting,Sativa-dominant (60%),"['Gelato', 'Unknown strain']",29%,Low,"['Sweet', 'Fuel', 'Vanilla']","['Energetic', 'Body-buzz']"
vanilla-haze,Vanilla Haze,Sativa-dominant,Unknown,Medium,Unknown,"['Lemon', 'Pepper', 'Spicy']","['Happy', 'Cerebral', 'Uplifting', 'Euphoric']"
vanilla-ice,Vanilla ICE,Indica-dominant,"['Afghani', 'Skunk', 'Shiva', 'Northern Lights']",17%,Unknown,"['Sweet', 'Spicy', 'Skunk']","['Relaxed', 'Lazy', 'Happy']"
