UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
cherrygasm,Cherrygasm,Sativa-dominant (70%),"['Cherry Pie OG', 'Space Queen']",Medium,Unknown,"['Musky', 'Lemon', 'Cherry', 'Diesel', 'Candy']","['Relaxed', 'Clear-headed', 'Cerebral']"
chicle,Chicle,Indica-dominant,"['Bubble Gum', 'Chem Dawg']",Medium,Unknown,"['Sweet', 'Pungent', 'Candy', 'Chemical', 'Fruity']","['Relaxed', 'Happy', 'Body-buzz', 'Euphoric', 'Strong']"
chiesel,Chiesel,Sativa-dominant (60%),"['Big Buddha Cheese', 'NYC Diesel']",Medium,Unknown,"['Cheese', 'Grape', 'Spicy', 'Diesel', 'Skunk']","['Energetic', 'Uplifting', 'Euphoric']"
china-yunnan,China Yunnan,Indica-dominant (80%),Landrace from China,12-18%,2-3%,"['Herbal', 'Woody', 'Sweet', 'Spicy']","['Euphoric', 'Tingly', 'Relaxed', 'Happy', 'Trippy']"
choco-bud,Choco Bud,Sativa (90-100%),Chocolope,19%,Medium,"['Chocolate', 'Sweet', 'Caramel']","['Long-lasting', 'Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
choco-candy,Choco Candy,Sativa-dominant,"['OG Chocolate Thai', 'Choco Haze']",21%,Unknown,"['Chocolate', 'Sweet']","['Tingly', 'Euphoric', 'Uplifting', 'Strong', 'Cerebral']"
choco-haze,Choco Haze,Sativa (90-100%),"['OG Chocolate Thai', 'Cannalope Haze']",20%,Low,"['Sweet', 'Chocolate', 'Tropical', 'Earthy']","['Euphoric', 'Creative', 'Energetic', 'Cerebral']"
chocolate-chunk,Chocolate Chunk,Indica (90-100%),Afghani,Medium,Unknown,"['Fruity', 'Candy', 'Chocolate']","['Calming', 'Relaxed', 'Body-buzz']"
chocolate-fondue,Chocolate Fondue,Sativa-dominant (80%),"['Chocolope', 'Cheese']",Medium,Unknown,"['Sweet', 'Chocolate']","['Euphoric', 'Cerebral', 'Uplifting']"
chocolate-mint-og,Chocolate Mint OG,Indica-dominant (80%),"['Grand Daddy Purp', 'Emerald OG Kush']",22-26%,Unknown,"['Mint', 'Chocolate', 'Pine', 'Fresh']","['Strong', 'Cerebral', 'Talkative', 'Relaxed', 'Body-buzz']"
chocolato,Chocolato,Indica-dominant (60%),"['Gelato', 'White Choco']",High,Low,"['Vanilla', 'Fruity', 'Sweet', 'Chocolate']","['Long-lasting', 'Body-buzz', 'Uplifting', 'Creative']"
chocolope,Chocolope,Sativa (90-100%),"['Cannalope Haze', 'OG Chocolate Thai']",High,Unknown,"['Sweet', 'Chocolate']","['Energetic', 'Munchies', 'Cerebral']"
chocolope-kush,Chocolope Kush,Sativa-dominant (60%),"['Kosher Kush', 'Chocolope']",High,Unknown,"['Chocolate', 'Kushy', 'Sweet']","['Relaxed', 'Euphoric', 'Uplifting', 'Happy']"
chronic-lights,Chronic Lights,Indica-dominant,"['Chronic', 'Northern Lights']",19%,Unknown,"['Sweet', 'Spicy', 'Pungent']","['Happy', 'Calming', 'Narcotic', 'Relaxed']"
chronic-ryder,Chronic Ryder,Indica-dominant autoflowering,"['Chronic', 'Lowryder']",11.9%,0.2%,"['Spicy', 'Sweet', 'Pepper']","['Calming', 'Relaxed', 'Sociable']"
chronic-thunder,Chronic Thunder,Indica-dominant (80%),"['Alaskan Thunder Fuck', 'Chronic']",Medium,Unknown,"['Earthy', 'Chocolate', 'Fuel', 'Pepper', 'Cinnamon']","['Relaxed', 'Happy', 'Attentive', 'Mellow']"
chunky-cheeze,Chunky Cheeze,Indica-dominant,Big Buddha Cheese,Medium,Unknown,"['Skunk', 'Cheese']","['Happy', 'Sleepy', 'Relaxed', 'Munchies']"
cinderella-99,Cinderella 99,Sativa-dominant,"['Shiva Skunk', 'Princess']",Medium,Unknown,"['Sweet', 'Cheese', 'Tropical', 'Fruity']","['Creative', 'Uplifting', 'Energetic', 'Euphoric', 'Clear-headed']"
ciskei,Ciskei,Sativa (100%),,High,,"['Pine', 'Citrus', 'Spicy', 'Fruity']","['Happy', 'Motivated', 'Giggly']"
citral-skunk,Citral Skunk,Indica/sativa,"['Citral', 'Skunk']",19-20%,0.2%,"['Sweet', 'Skunk', 'Pungent']","['Meditative', 'Body-buzz', 'Relaxed']"
citrus-smoothie,Citrus Smoothie,Indica-dominant,"['Grapefruit', 'OG Kush']",Medium,Unknown,"['Citrus', 'Lemon', 'Pineapple']","['Uplifting', 'Calming', 'Cerebral', 'Relaxed']"
claustrum,Claustrum,Sativa (90-100%),"['Jack Herer', 'Kali Mist', 'Super Silver Haze']",21%,0.1%,"['Musky', 'Sweet', 'Earthy']","['Euphoric', 'Clear-headed', 'Energetic', 'Cerebral']"
cluster-bomb,Cluster Bomb,Indica-dominant,"['Cinderella 99', 'Bomb 1', 'Super Skunk']",15-20%,Unknown,"['Strawberry', 'Skunk', 'Orange']","['Uplifting', 'Relaxed', 'Smooth']"
cocoa-kush,Cocoa Kush,Indica/sativa (50/50),"['Blueberry', 'Blueberry Sativa']",Medium,Unknown,"['Spicy', 'Fruity', 'Sweet', 'Licorice', 'Chocolate']","['Relaxed', 'Dreamy', 'Sociable', 'Happy', 'Calming']"
cole-train,Cole Train,Indica-dominant (70%),"['Jasmine', 'Train Wreck']",Medium,Unknown,"['Citrus', 'Herbal', 'Earthy']","['Happy', 'Calming', 'Relaxed']"
colombian,Colombian,Sativa (90-100%),Landrace from Colombia,High,Unknown,"['Skunk', 'Lime', 'Sweet', 'Lemon']","['Happy', 'Cerebral', 'Focused', 'Uplifting', 'Euphoric']"
colombian-sweet,Colombian Sweet,Indica-dominant (60%),"['Colombian Fruit', 'Northern Lights']",Medium,Unknown,"['Sweet', 'Fruity', 'Citrus']","['Sociable', 'Happy', 'Uplifting', 'Relaxed']"
coma-cluster,Coma Cluster,Indica/sativa (50/50),"['Boggle Dragon', 'Iron Cindy']",High,Unknown,"['Candy', 'Fuel', 'Honey']","['Strong', 'Balanced', 'Euphoric', 'Body-buzz', 'Relaxed']"
confidencial-medicine,Confidencial Medicine,Indica-dominant (80%),"['Confidencial OG', 'Haze']",Medium,Unknown,"['Citrus', 'Pine', 'Earthy', 'Lime']","['Calming', 'Cerebral', 'Relaxed', 'Munchies', 'Body-buzz']"
confidencial-og,Confidencial OG,Indica (100%),"['Afghani', 'OG Kush']",Medium,Unknown,"['Earthy', 'Hashish', 'Spicy']","['Calming', 'Sedative', 'Relaxed', 'Body-buzz', 'Couch-lock']"
congo,Congo,Sativa-dominant (70%),"['Congo 3', 'Bangi Congo', 'Pakistan Chitral Kush']",15%,0.15%,"['Flowery', 'Sweet', 'Strawberry']","['Relaxed', 'Happy', 'Uplifting', 'Energetic', 'Creative', 'Motivated']"
congo-haze,Congo Haze,Sativa,"['Red Congolese', ""Neville's Haze""]",High,Unknown,"['Sweet', 'Woody', 'Spicy']","['Strong', 'Creative', 'Cerebral', 'Energetic']"
conspiracy-kush,Conspiracy Kush,Indica-dominant (70%),"['Obama Kush', 'Space Queen']",Medium,Unknown,"['Musky', 'Fruity', 'Citrus', 'Lemon']","['Euphoric', 'Narcotic', 'Relaxed', 'Sleepy']"
cookies-and-cream,Cookies and Cream,Indica/sativa (50/50),"['Girl Scout Cookies', 'Starfighter']",20–25%,Low,"['Vanilla', 'Nutty', 'Creamy', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Sedative', 'Happy']"
cookies-and-cream-cheese,Cookies And Cream Cheese,Indica-dominant (80%),"['Thin Mint Girl Scout Cookies', 'Big Buddha Cheese']",Medium,Unknown,"['Sweet', 'Kushy', 'Fruity', 'Creamy']","['Euphoric', 'Body-buzz', 'Energetic', 'Happy']"
cookies-haze,Cookies Haze,Sativa-dominant,"['Afghani', 'Super Silver Haze']",23-25%,0.3%,"['Fruity', 'Sweet', 'Fresh']","['Euphoric', 'Cerebral', 'Long-lasting', 'Creative', 'Body-buzz']"
cookies-kush,Cookies Kush,Indica-dominant (70%),"['OG Kush', 'Girl Scout Cookies']",High,Unknown,"['Mint', 'Earthy', 'Sweet', 'Herbal']","['Relaxed', 'Euphoric', 'Sleepy', 'Happy', 'Body-buzz']"
cosmic-bomb-auto,Cosmic Bomb Auto,Indica/sativa autoflowering,"['LSD', 'Auto Bomb']",20%,Low,"['Skunk', 'Earthy', 'Sweet', 'Fruity']","['Psychedelic', 'Uplifting', 'Body-buzz']"
crazy-miss-hyde,Crazy Miss Hyde,Indica-dominant (70%),"['Belladonna', 'Northern Lights']",21%,Unknown,"['Chemical', 'Berry', 'Citrus']","['Euphoric', 'Body-buzz', 'Relaxed', 'Cerebral', 'Balanced']"
cream-caramel,Cream Caramel,Indica (90-100%),"['Maple Leaf Indica', 'White Rhino', 'Blue Black']",15-20%,1-1.5%,"['Caramel', 'Sweet']","['Relaxed', 'Euphoric', 'Strong', 'Happy']"
cream-caramel-f1-fast-version,Cream caramel - F1 Fast Version,Indica (90-100%),"['Cream Caramel Autoflowering', 'Cream Caramel']",15-20%,1.2%,"['Sweet', 'Caramel', 'Earthy', 'Creamy']","['Happy', 'Dreamy', 'Relaxed', 'Body-buzz']"
cream-caramel-cbd,Cream Caramel CBD,Indica-dominant (70%),"['CBD Diesel', 'Cream Caramel']",7-15%,9-17%,"['Citrus', 'Candy', 'Earthy', 'Cypress']","['Calming', 'Relaxed', 'Body-buzz']"
cream-mandarine-f1-fast-version,Cream Mandarine - F1 Fast Version,Indica-dominant (60%),Diesel,18-22%,"0,9%","['Citrus', 'Orange', 'Diesel', 'Sweet']","['Relaxed', 'Body-buzz', 'Strong']"
crimea-blue,Crimea Blue,Indica-dominant (80%),"['Turkman', 'Blueberry']",18%,0.6%,"['Earthy', 'Lemon', 'Fruity']","['Long-lasting', 'Body-buzz', 'Meditative', 'Relaxed']"
critical-47,Critical 47,Indica-dominant,"['Critical Mass', 'AK-47']",15-18%,0.3%,"['Sweet', 'Peach', 'Fruity', 'Mango']","['Calming', 'Body-buzz', 'Relaxed', 'Happy']"
critical-47-express,Critical 47 Express,Indica-dominant autoflowering,"['Critical Express', 'AK-47']",Medium,Unknown,"['Mango', 'Vanilla', 'Peach']","['Body-buzz', 'Calming', 'Sociable', 'Relaxed', 'Happy']"
critical-cheese,Critical Cheese,Indica-dominant,"['Cheese', 'Critical+']",High,Low,"['Lemon', 'Pine', 'Cheese']","['Relaxed', 'Euphoric', 'Happy', 'Clear-headed']"
critical-haze,Critical Haze,Sativa-dominant (60%),"['Critical Mass', 'Afghan Haze']",18-22%,Unknown,"['Herbal', 'Spicy', 'Sweet']","['Relaxed', 'Body-buzz', 'Sociable', 'Happy']"
critical-hog,Critical HOG,Indica-dominant,"['Tennessee HOG', 'Critical Mass']",Medium,Unknown,"['Earthy', 'Sweet', 'Flowery']","['Happy', 'Relaxed', 'Strong']"
critical-impact,Critical Impact,Indica-dominant (80%),"['Hindu Kush', 'Critical Mass', 'Skunk 1']",18%,Unknown,"['Skunk', 'Sweet', 'Fruity']","['Happy', 'Sociable', 'Relaxed', 'Munchies', 'Uplifting']"
critical-jack,Critical Jack,Sativa-dominant (60%),"['Critical+', 'Jack Herer']",High,Medium,"['Woody', 'Spicy', 'Citrus', 'Tropical', 'Pine']","['Talkative', 'Creative', 'Cerebral', 'Strong', 'Clear-headed']"
critical-jack-herer,Critical Jack Herer,Sativa-dominant (80%),"['Critical Mass', 'Jack Herer']",20%,Unknown,"['Sweet', 'Pepper', 'Lemon', 'Spicy', 'Mint']","['Uplifting', 'Energetic', 'Balanced', 'Euphoric', 'Cerebral']"
critical-kali-mist,Critical Kali Mist,Sativa-dominant (80%),"['Critical Mass', 'Kali Mist']",22%,Unknown,"['Musky', 'Pine', 'Woody', 'Herbal', 'Skunk']","['Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
critical-kush,Critical Kush,Indica (90-100%),"['Critical+', 'OG Kush']",20-25%,1-2%,"['Woody', 'Lemon', 'Citrus', 'Spicy', 'Earthy']","['Strong', 'Long-lasting', 'Body-buzz', 'Relaxed', 'Calming']"
critical-lemon,Critical Lemon,Indica-dominant,"['Citral Skunk', 'Critical']",19%,Unknown,"['Lemon', 'Citrus', 'Grapefruit']","['Happy', 'Relaxed', 'Body-buzz']"
critical-magic,Critical Magic,Indica-dominant,"['Critical Bilbo', 'Grapefruit']",17-20%,0.8%,"['Sweet', 'Fresh', 'Grape', 'Fruity']","['Happy', 'Body-buzz', 'Relaxed', 'Sociable']"
critical-mango,Critical Mango,Indica-dominant (75%),"['Somango', 'Critical 47']",18%,Unknown,"['Sweet', 'Fruity']","['Creative', 'Relaxed', 'Motivated']"
critical-mass-33,Critical Mass 33,Indica/sativa,"['Jack 33', 'Critical Mass']",Medium,Unknown,"['Pepper', 'Spicy', 'Pungent']","['Body-buzz', 'Cerebral', 'Balanced', 'Relaxed']"
critical-mass-cbd,Critical Mass CBD,Indica-dominant (80%),"['CBD strain', 'Critical Mass']",5%,5%,"['Lemon', 'Pine', 'Fruity', 'Woody']","['Relaxed', 'Balanced', 'Smooth', 'Body-buzz']"
critical-neville-haze-2,Critical Neville Haze 2.0,Sativa (90-100%),"['Critical Mass', ""Neville's Haze""]",23-24%,Unknown,"['Pine', 'Flowery', 'Woody', 'Mint', 'Coffee']","['Trippy', 'Euphoric', 'Uplifting', 'Strong', 'Cerebral']"
critical-purple-kush,Critical Purple Kush,Indica-dominant,"['Critical', 'Purple OG']",18%,Unknown,"['Sweet', 'Coffee', 'Earthy']","['Psychedelic', 'Relaxed', 'Body-buzz']"
critical-sensi-star,Critical Sensi Star,Indica (90-100%),"['Critical Mass', 'Sensi Star']",24-25%,Unknown,"['Skunk', 'Sour', 'Fruity', 'Strawberry']","['Relaxed', 'Cerebral', 'Strong', 'Happy']"
critical-skunk,Critical Skunk,Indica-dominant,"['Critical Mass', 'Skunk 1']",19%,Unknown,"['Diesel', 'Spicy', 'Pepper']","['Body-buzz', 'Meditative', 'Calming', 'Long-lasting', 'Relaxed']"
critical-super-silver-haze,Critical Super Silver Haze,Sativa-dominant (70%),"['Critical Mass', 'Super Silver Haze']",21%,Unknown,"['Sweet', 'Woody', 'Citrus']","['Long-lasting', 'Body-buzz', 'Relaxed', 'Cerebral', 'Balanced']"
critical-plus,Critical+,Indica/sativa (50/50),"['Skunk', 'Big Bud']",High,Medium,"['Fresh', 'Nutty', 'Herbal', 'Lemon']","['Cerebral', 'Narcotic', 'Calming', 'Relaxed']"
critical-plus-2,Critical+ 2.0,Indica-dominant (70%),Critical+,16-20%,0.3%,"['Sweet', 'Lemon', 'Tropical', 'Pine', 'Fruity']","['Meditative', 'Calming', 'Relaxed', 'Happy', 'Body-buzz']"
crocketts-haze,Crockett's Haze,Sativa-dominant (80%),"['The Ranger', 'Family Secret']",High,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Fresh']","['Motivated', 'Strong', 'Energetic', 'Uplifting', 'Cerebral']"
crocketts-sour-tangie,Crockett's Sour Tangie,Sativa-dominant (80%),"['East Coast Sour Diesel', 'Tangie']",High,Unknown,"['Sour', 'Fruity', 'Citrus']","['Talkative', 'Motivated', 'Uplifting', 'Creative']"
crocketts-confidential,Crocketts Confidential,Indica-dominant (70%),"['Family Secret', 'LA Confidential']",Medium,Unknown,"['Earthy', 'Fruity', 'Grape', 'Hashish']","['Happy', 'Relaxed', 'Sociable']"
crystal-candy,Crystal Candy,Indica-dominant (60%),Unknown,15-21%,0.3%,"['Strawberry', 'Fruity', 'Sweet', 'Melon', 'Candy']","['Relaxed', 'Body-buzz', 'Cerebral', 'Balanced']"
crystal-candy-f1-fast-version,Crystal Candy - F1 Fast Version,Indica-dominant (60%),"['Crystal Candy', 'Sweet Special Autoflowering']",15-21%,0.1%,"['Fruity', 'Strawberry', 'Candy', 'Sweet']","['Relaxed', 'Calming', 'Sociable', 'Happy']"
crystal-cloud,Crystal Cloud,Sativa-dominant (70%),"['Mexican', 'Black Domina', 'Silver Haze']",21%,Unknown,"['Citrus', 'Sweet']","['Cerebral', 'Creative', 'Motivated', 'Strong', 'Relaxed', 'Happy', 'Uplifting', 'Energetic']"
crystal-meth,Crystal Meth,Sativa-dominant autoflowering,"['Mexican Sativa', 'ruderalis']",20%,1%,"['Woody', 'Nutty', 'Pine']","['Creative', 'Energetic', 'Cerebral', 'Happy']"
crystal-queen,Crystal Queen,Indica-dominant (60%),"['ICE', 'Super Skunk', 'White Widow']",20%,Unknown,"['Flowery', 'Earthy', 'Woody']","['Happy', 'Relaxed', 'Sociable']"
crystal-white,Crystal White,Indica-dominant (80%),"['Super Skunk', 'White Widow']",High,High,"['Sweet', 'Fruity', 'Skunk']","['Strong', 'Long-lasting', 'Relaxed', 'Balanced']"
cum-laude,Cum Laude,Sativa (90-100%),"['Tijuana', 'Reina Madre', 'Original Haze']",Medium,Unknown,"['Lavender', 'Herbal', 'Woody', 'Earthy', 'Spicy']","['Cerebral', 'Happy', 'Uplifting', 'Creative', 'Motivated']"
currant-kush,Currant Kush,Indica/sativa (50/50),"['Colombian', 'Mexican', 'Afghan Kush']",21-22%,Unknown,"['Lavender', 'Mint', 'Grapefruit']","['Creative', 'Body-buzz', 'Relaxed', 'Munchies', 'Balanced']"
cuvée,Cuvée,Indica/sativa,"['Pinot Noir', 'Space Queen']",Medium,Unknown,"['Sweet', 'Chocolate', 'Earthy', 'Cherry']","['Calming', 'Relaxed', 'Happy']"
daddy-s-girl,Daddy's Girl,Sativa-dominant (80%),South Africa,Medium,Unknown,"['Citrus', 'Tropical', 'Spicy']","['Happy', 'Cerebral', 'Relaxed', 'Calming', 'Sociable', 'Creative']"
dairy-queen,Dairy Queen,Sativa-dominant (60%),"['Cinderella 99', 'Romulan', 'Cheese']",Medium,Unknown,"['Cheese', 'Fruity', 'Sweet', 'Pungent']","['Relaxed', 'Motivated', 'Uplifting', 'Happy', 'Sociable']"
dama-blanca,Dama Blanca,Sativa-dominant,White Widow,High,Unknown,"['Sweet', 'Fruity', 'Pungent']","['Cerebral', 'Euphoric', 'Relaxed']"
damn-sour,Damn Sour,Sativa-dominant (60%),Sour Sage,17%,1%,"['Sour', 'Pungent']","['Relaxed', 'Sleepy', 'Calming']"
damnesia,Damnesia,Sativa-dominant (60%),"['A.M.S.', 'Amnesia Haze']",Medium,Unknown,"['Woody', 'Flowery', 'Fruity']","['Talkative', 'Cerebral', 'Energetic', 'Uplifting']"
dance-world,Dance World,Sativa-dominant (75%),"['Afghani', 'Juanita la Lagrimosa', 'Mexican']",12%,High,"['Earthy', 'Fruity', 'Spicy']","['Energetic', 'Uplifting']"
dancehall,Dancehall,Sativa-dominant,"['Juanita la Lagrimosa', 'Kalijah']",Medium,Unknown,"['Earthy', 'Berry']","['Energetic', 'Long-lasting', 'Cerebral']"
dark-dragon,Dark Dragon,Indica/sativa (50/50),"['Boggle Dragon', 'Dark Matter']",High,Unknown,"['Sweet', 'Grapefruit', 'Candy']","['Euphoric', 'Creative', 'Motivated', 'Energetic']"
dark-rhino,Dark Rhino,Indica-dominant (75%),"['Blue Rhino 1947', 'Dark Matter']",High,Unknown,"['Candy', 'Honey', 'Hashish', 'Fuel']","['Strong', 'Dreamy', 'Relaxed', 'Body-buzz']"
darkling-sativa,Darkling Sativa,Sativa,"['Black Forrest', 'Cinderella 99']",Medium,Unknown,"['Chemical', 'Honey', 'Pungent']","['Focused', 'Cerebral', 'Euphoric', 'Motivated', 'Energetic']"
darkstar-kush,Darkstar Kush,Indica-dominant,"['Afghani Mazar-i-Sharif', 'Purple Kush']",Medium,Medium,"['Sweet', 'Skunk', 'Earthy', 'Spicy']","['Calming', 'Cerebral', 'Relaxed', 'Happy']"
dawg-star,Dawg Star,Indica-dominant,"['Dark Star', 'OG Kush']",Medium,Low,"['Sweet', 'Pine', 'Earthy', 'Pungent']","['Happy', 'Tingly', 'Couch-lock', 'Sleepy', 'Narcotic']"
deadhead-og,Deadhead OG,Indica-dominant,"['ChemDawg 91', 'SFV OG Kush']",Medium,Unknown,"['Kushy', 'Pine', 'Earthy', 'Pungent']","['Happy', 'Body-buzz', 'Relaxed', 'Calming']"
deadlights,Deadlights,Sativa-dominant (65%),"['ACDC', 'Pennywise']",Low,High,"['Berry', 'Fruity', 'Licorice', 'Earthy', 'Sandalwood']","['Relaxed', 'Long-lasting', 'Clear-headed', 'Calming', 'Mellow']"
dedoverde-haze,Dedoverde Haze,Sativa-dominant (80%),"['California Haze', 'Amnesia']",18-24%,0.1%,"['Sour', 'Pine', 'Woody', 'Citrus', 'Spicy']","['Energetic', 'Uplifting', 'Focused', 'Cerebral']"
deep-cheese,Deep Cheese,Indica/sativa,Cheese,High,Unknown,"['Pungent', 'Skunk', 'Cheese']","['Happy', 'Body-buzz', 'Relaxed', 'Cerebral', 'Balanced']"
deep-chunk,Deep Chunk,Indica (100%),Afghani Hash Plant,Medium,Unknown,"['Pine', 'Earthy', 'Fuel']","['Narcotic', 'Dreamy', 'Relaxed', 'Happy', 'Body-buzz', 'Euphoric']"
deep-purple,Deep Purple,Indica-dominant (85%),"['Querkle', 'Purple Urkle']",Medium,Unknown,"['Musky', 'Grape']","['Relaxed', 'Body-buzz', 'Calming']"
deimos,Deimos,Indica-dominant autoflowering,"['Northern Lights', 'ruderalis']",Medium,Unknown,"['Fruity', 'Spicy', 'Earthy']","['Body-buzz', 'Mellow', 'Relaxed']"
delahaze,Delahaze,Sativa-dominant (70%),Unknown,High,Unknown,"['Fruity', 'Sweet', 'Citrus']","['Uplifting', 'Creative', 'Energetic', 'Alert']"
delicious-candy,Delicious Candy,Indica-dominant (80%),"['Caramelo', 'UK Cheese']",22-23%,Unknown,"['Cheese', 'Herbal', 'Caramel', 'Sweet']","['Narcotic', 'Euphoric', 'Relaxed', 'Giggly']"
delicious-candy-auto,Delicious Candy Auto,Indica-dominant autoflowering,"['Caramelo', 'Cheese Autoflowering']",17%,High,"['Licorice', 'Pepper', 'Flowery']","['Body-buzz', 'Relaxed', 'Calming', 'Happy']"
delicious-candy-fast-version,Delicious Candy Fast Version,,,,,,
dementia,Dementia,Sativa-dominant (80%),"['Blue Dream', 'Amnesia Haze']",16-23%,1-3%,"['Sweet', 'Fruity', 'Fresh']","['Talkative', 'Creative', 'Cerebral', 'Energetic']"
desert-diesel,Desert Diesel,Sativa-dominant (55%),"['Emerald Mountain DAD', 'Amherst Sour Diesel']",17-20%,0.1%,"['Sweet', 'Woody', 'Diesel', 'Fruity']","['Relaxed', 'Sociable', 'Energetic', 'Happy', 'Uplifting']"
desert-queen,Desert Queen,Indica-dominant (60%),"['Valley Queen', 'Master Ice', 'Sudden Death']",Medium,Unknown,"['Pungent', 'Sweet', 'Spicy']","['Relaxed', 'Cerebral', 'Energetic', 'Uplifting']"
desfrán,Desfrán,Sativa (90-100%),Destroyer,High,Unknown,"['Grape', 'Sweet', 'Fruity', 'Tropical']","['Trippy', 'Cerebral', 'Uplifting', 'Energetic']"
destroyer,Destroyer,Sativa (90-100%),"['Mexican', 'Colombian', 'Meao Thailand']",20%,1%,"['Flowery', 'Fresh', 'Lavender']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
devil-fruit,Devil Fruit,Indica-dominant (70%),"['Shiskaberry', 'Great White Shark']",15-20%,Low,"['Sweet', 'Fruity', 'Tropical']","['Cerebral', 'Creative', 'Body-buzz', 'Relaxed']"
diamond-girl,Diamond Girl,Indica-dominant (60%),"['Haze', 'Northern Lights', 'Early Pearl', 'Skunk']",15%,0.17%,"['Sweet', 'Skunk']","['Relaxed', 'Cerebral']"
diesel-dipped-cookies,Diesel Dipped Cookies,Indica-dominant,"['Girl Scout Cookies', 'Diesel']",Medium,Unknown,"['Sweet', 'Earthy', 'Citrus']","['Happy', 'Calming', 'Body-buzz', 'Relaxed']"
diesel-glue,Diesel Glue,Sativa-dominant,"['NY Diesel', 'Black Domina']",18-19%,0.5%,"['Citrus', 'Pungent', 'Diesel', 'Spicy']","['Euphoric', 'Cerebral', 'Energetic', 'Happy']"
diesel-kush,Diesel Kush,Sativa-dominant (60%),"['OG Kush', 'Sour Diesel']",High,Unknown,"['Diesel', 'Kushy', 'Lemon']","['Alert', 'Creative', 'Body-buzz', 'Relaxed']"
diesel-ryder,Diesel Ryder,Indica/sativa autoflowering,"['Lowryder 2', 'NYC Diesel']",17-19%,Unknown,"['Fuel', 'Pungent', 'Diesel']","['Creative', 'Energetic', 'Smooth']"
dieseltonic,Dieseltonic,Indica/sativa (50/50),"['Cannatonic', 'NYC Diesel']",Medium,High,"['Tropical', 'Citrus']","['Energetic', 'Uplifting', 'Focused']"
dinachem,Dinachem,Sativa-dominant (65%),"['Guava Chem', 'ChemDawg 91']",18-23%,Low,"['Fruity', 'Chemical', 'Pungent', 'Diesel', 'Woody']","['Creative', 'Body-buzz', 'Relaxed', 'Cerebral', 'Strong']"
dinamed-cbd,Dinamed CBD,Sativa-dominant (60%),Pure CBD 4,0.5%,10-14%,"['Citrus', 'Fruity', 'Sweet']","['Relaxed', 'Calming', 'Clear-headed']"
dinamed-cbd-plus,Dinamed CBD Plus,Sativa-dominant (60%),Dinamed CBD 5,0.5-1%,15–20%,"['Sweet', 'Fruity', 'Pungent']","['Clear-headed', 'Relaxed', 'Calming']"
dinamex,Dinamex,Indica/sativa,"['Emerald OG Kush', 'Cali Sour']",High,Low,"['Citrus', 'Diesel', 'Sour']","['Uplifting', 'Cerebral', 'Relaxed']"
dj-s-gold,DJ’s Gold,Sativa-dominant (55%),"['Jew Gold Cut', 'Blueberry']",Medium,Unknown,"['Earthy', 'Berry', 'Lemon']","['Happy', 'Relaxed', 'Uplifting']"
do-si-dos-auto,Do Si Dos Auto,Indica-dominant (65%) autoflowering,"['ruderalis', 'Do-Si-Dos']",20%,Low,"['Sweet', 'Fruity', 'Lemon']","['Relaxed', 'Body-buzz', 'Strong', 'Munchies']"
do-sweet-dos,Do-Sweet-Dos,Indica-dominant (65%),Do-Si-Dos,17-24%,0.1%,"['Flowery', 'Citrus', 'Spicy', 'Earthy', 'Sweet']","['Happy', 'Body-buzz', 'Relaxed', 'Calming']"
doctor-jamaica,Doctor Jamaica,Indica/sativa (50/50),Californian Orange,15%,Unknown,"['Citrus', 'Tropical', 'Fruity']","['Talkative', 'Relaxed', 'Happy', 'Sociable', 'Giggly']"
dominator,Dominator,Sativa-dominant,"['Jack 22', 'Kushage 16']",Medium,Unknown,"['Pine', 'Earthy', 'Spicy']","['Euphoric', 'Clear-headed', 'Energetic', 'Cerebral']"
dos-si-dos-33,Dos Si Dos 33,Indica-dominant (60%),"['Gelato 33', 'Do-Si-Dos']",High,,"['Mint', 'Creamy', 'Sweet', 'Lime']","['Energetic', 'Relaxed', 'Euphoric', 'Happy']"
double-alien-18,Double Alien 18,Indica-dominant (60%),"['The OG 18', 'Martian Mean Green']",Medium,Unknown,"['Sour', 'Diesel']","['Relaxed', 'Cerebral', 'Uplifting']"
double-congo,Double Congo,Sativa (100%),,High,,"['Flowery', 'Woody', 'Earthy']","['Focused', 'Strong', 'Clear-headed']"
double-cookies,Double Cookies,Indica-dominant (70%),"['Cookies Forum', 'Do-Si-Dos']",25-27%,Low,"['Mint', 'Sweet', 'Earthy']","['Narcotic', 'Relaxed']"
double-diesel-ryder,Double Diesel Ryder,Sativa-dominant autoflowering,"['ruderalis', 'NYC Diesel']",Medium,Unknown,"['Fresh', 'Diesel']","['Relaxed', 'Motivated', 'Creative', 'Clear-headed']"
double-dutch,Double Dutch,Indica-dominant,"['Warlock', 'Chronic']",High,Unknown,"['Sweet', 'Fruity', 'Flowery']","['Body-buzz', 'Cerebral', 'Balanced', 'Relaxed']"
double-gum,Double Gum,Indica-dominant (80%),Bubblegum,Medium,Unknown,"['Fresh', 'Sweet', 'Fruity']","['Relaxed', 'Body-buzz', 'Calming']"
